premise,conclusion,kind,cross_attribute_part,support
"alcohol>=13, total_so2>=medium(60)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), volatile_acidity>=low(0.3)",1
"quality>=good(7), total_so2>=medium(60)","alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20)",data-induced,"alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15)",4
"quality>=excellent(8), total_so2>=medium(60)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"density=light, total_so2>=high(100)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",data-induced,"free_so2>=low(6), quality>=acceptable(5)",8
"density=heavy, total_so2>=high(100)","fixed_acidity>=low(6), free_so2>=low(6), sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), sulphates>=medium(0.6), volatile_acidity>=low(0.3)",6
"pH<=acidic(3.1), total_so2>=high(100)","citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",data-induced,"citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5)",3
"pH>=basic(3.4), total_so2>=high(100)","alcohol>=11, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",2
"pH=neutral_range, total_so2>=high(100)","fixed_acidity>=low(6), free_so2>=low(6), total_so2>=low(20), total_so2>=medium(60)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6)",9
"sulphates>=medium(0.6), total_so2>=high(100)","free_so2>=low(6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), volatile_acidity>=low(0.3)",10
"sulphates>=high(0.8), total_so2>=high(100)","free_so2>=low(6), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3)",4
"alcohol>=11, total_so2>=high(100)","free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",data-induced,"free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5)",5
"alcohol>=13, total_so2>=high(100)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"quality>=good(7), total_so2>=high(100)","alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), volatile_acidity>=low(0.3)",2
"quality>=excellent(8), total_so2>=high(100)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"density=heavy, density=light","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"density=light, pH<=acidic(3.1)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",5
"density=light, pH=neutral_range",quality>=acceptable(5),data-induced,quality>=acceptable(5),67
"density=light, sulphates>=high(0.8)","free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6)",data-induced,"free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry",12
"density=light, quality>=good(7)","free_so2>=low(6), quality>=acceptable(5)",data-induced,free_so2>=low(6),17
"density=heavy, pH<=acidic(3.1)","citric_acid_present, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), residual_sugar=dry",data-induced,"citric_acid_present, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), residual_sugar=dry",16
"density=heavy, pH>=basic(3.4)","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",17
"alcohol>=11, density=heavy","citric_acid_present, fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"citric_acid_present, fixed_acidity>=low(6), quality>=acceptable(5)",17
"alcohol>=13, density=heavy","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"density=heavy, quality>=good(7)","citric_acid_present, fixed_acidity>=low(6), quality>=acceptable(5), sulphates>=medium(0.6)",data-induced,"citric_acid_present, fixed_acidity>=low(6), sulphates>=medium(0.6)",10
"density=heavy, quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH<=acidic(3.1), pH>=basic(3.4)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH<=acidic(3.1), pH=neutral_range","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH<=acidic(3.1), sulphates>=medium(0.6)","citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), residual_sugar=dry",data-induced,"citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), residual_sugar=dry",13
"pH<=acidic(3.1), sulphates>=high(0.8)","chlorides=high_salt, citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), volatile_acidity>=low(0.3)",data-induced,"chlorides=high_salt, citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",5
"alcohol>=11, pH<=acidic(3.1)","citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5)",data-induced,"citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5)",7
"alcohol>=13, pH<=acidic(3.1)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH<=acidic(3.1), quality>=good(7)","citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5)",data-induced,"citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6)",5
"pH<=acidic(3.1), quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH=neutral_range, pH>=basic(3.4)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH>=basic(3.4), sulphates>=high(0.8)","free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20)",data-induced,"free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",6
"alcohol>=11, pH>=basic(3.4)",free_so2>=low(6),data-induced,free_so2>=low(6),22
"alcohol>=13, pH>=basic(3.4)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",2
"pH>=basic(3.4), quality>=good(7)","chlorides=low_salt, density=light, free_so2>=low(6), quality>=acceptable(5)",data-induced,"chlorides=low_salt, density=light, free_so2>=low(6)",7
"pH>=basic(3.4), quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, alcohol>=13, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",1
"pH=neutral_range, sulphates>=medium(0.6)",fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),73
"pH=neutral_range, sulphates>=high(0.8)","fixed_acidity>=low(6), sulphates>=medium(0.6)",data-induced,fixed_acidity>=low(6),15
"alcohol>=11, pH=neutral_range","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",36
"alcohol>=13, pH=neutral_range","alcohol>=11, density=light, fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"density=light, fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",2
"pH=neutral_range, quality>=good(7)","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,fixed_acidity>=low(6),15
"pH=neutral_range, quality>=excellent(8)","alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",1
"alcohol>=11, sulphates>=medium(0.6)",quality>=acceptable(5),data-induced,quality>=acceptable(5),42
"alcohol>=13, sulphates>=medium(0.6)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",2
"alcohol>=11, sulphates>=high(0.8)","quality>=acceptable(5), sulphates>=medium(0.6)",data-induced,quality>=acceptable(5),10
"alcohol>=13, sulphates>=high(0.8)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"quality>=good(7), sulphates>=high(0.8)","alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6)",data-induced,"alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), residual_sugar=dry",4
"quality>=excellent(8), sulphates>=high(0.8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"alcohol>=13, quality>=good(7)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",2
"alcohol>=13, quality>=excellent(8)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",1
